Age Category,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
TOTAL,"8,335","8,467","8,724","8,540","9,031","9,292","9,436","9,767","9,829","10,642","10,744","11,951","12,197"
18-25,"2,227","2,027","2,257","2,329","2,489","2,568","2,586","2,878","3,022","3,555","3,709","3,926","3,771"
18-20,"1,022",950,"1,067","1,104","1,161","1,260","1,167","1,294","1,408","1,596","1,571","1,747","1,552"
21-25,"1,205","1,077","1,191","1,225","1,328","1,308","1,420","1,584","1,614","1,958","2,138","2,179","2,219"
26 or Older,"6,107","6,440","6,467","6,211","6,542","6,723","6,850","6,890","6,807","7,087","7,035","8,025","8,427"
26-49,"3,951","4,290","4,006","3,587","4,064","3,875","3,953","4,072","4,173","4,292","4,657","5,331","5,317"
26-29,776,754,742,765,759,808,796,990,944,"1,175","1,284","1,522","1,279"
30-34,698,812,755,536,777,888,894,936,"1,068",922,"1,165","1,276","1,422"
35-39,767,954,593,822,726,693,727,720,855,753,883,990,932
40-44,811,832,790,680,838,680,850,709,585,800,697,755,832
45-49,899,938,"1,125",784,965,805,685,716,721,642,627,787,852
50 or Older,"2,157","2,150","2,461","2,624","2,478","2,849","2,897","2,817","2,634","2,795","2,379","2,693","3,110"
50-54,695,721,668,931,602,"1,119",873,806,796,523,603,583,905
55-59,599,693,698,656,528,721,832,647,641,749,584,704,712
60-64,296,280,435,401,548,376,461,519,413,484,427,463,431
65 or Older,567,456,660,636,800,632,731,846,783,"1,039",766,943,"1,061"
