Substance,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
ILLICIT DRUGS,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,nr,nr,nr,nr,nr,nr
Marijuana,733,666,714,723,742,787,817,988,918,"1,060",966,"1,017","1,094","1,048","1,013","1,304","1,197","1,240","1,146"
Cocaine,594,576,592,498,570,541,426,397,372,467,443,432,501,663,766,729,616,476,341
Crack,100,109,120,142,132,88,91,62,39,40,49,25,54,37,48,21,36,17,29
Heroin,66,42,46,57,56,70,58,83,83,100,95,66,75,57,82,46,35,19,12
Hallucinogens,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,670,725,683,632,681,785
LSD,142,98,112,114,162,171,235,228,261,222,264,312,371,387,567,487,468,460,521
PCP,46,41,49,22,27,19,16,17,24,18,28,13,24,8,9,9,8,15,45
Ecstasy,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,531,460,507,460,448,309
Inhalants,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,188,184,212,210,250,201
Methamphetamine,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,91,79,95,68,63,51
Misuse of Prescription Psychotherapeutics1,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,nr,nr,nr,nr,nr,nr
Pain Relievers1,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,596,585,465,464,404,290
Stimulants,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,600,617,581,517,364,294
Tranquilizers or Sedatives,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,nr,nr,nr,nr,nr,nr
Tranquilizers,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,489,617,473,434,329,290
Sedatives,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,86,75,51,73,39,77
Benzodiazepines,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Opioids,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,nr,nr,nr,nr,nr,nr
Illicit Drugs Other Than Marijuana2,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,nr,nr,nr,nr,nr,nr
CIGARETTES,641,659,765,848,"1,041",989,"1,076","1,147","1,120","1,156","1,204","1,031","1,181","1,050",978,"1,151","1,141",964,752
Daily Cigarette Use,447,474,566,493,554,566,549,618,599,525,488,505,479,403,363,393,353,235,248
SMOKELESS TOBACCO,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,517,452,398,414,424,375
CIGARS,"1,031","1,055","1,199","1,332","1,275","1,379","1,277","1,417","1,388","1,238","1,291","1,334","1,311","1,281","1,226","1,118","1,246","1,154",678
ALCOHOL,"1,230","1,430","1,484","1,421","1,612","1,741","1,706","1,775","2,008","1,971","1,945","2,056","2,225","2,203","2,191","2,440","2,436","2,415","2,084"
