Age Category,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
TOTAL,"1,088","1,040","1,122","1,135","1,290","1,312","1,120","1,399","1,319","1,388","1,442","1,379","1,203"
18-25,395,372,393,415,508,434,433,571,616,648,647,604,627
18-20,242,190,205,221,282,255,190,274,334,364,316,300,336
21-25,153,182,189,194,226,180,244,298,281,284,332,305,292
26 or Older,693,668,729,721,782,878,687,827,704,739,795,775,576
26-49,446,465,399,443,502,596,491,506,496,435,521,579,452
26-29,106,83,44,119,100,98,99,115,131,114,105,156,184
30-34,117,81,105,73,85,158,91,131,114,83,121,154,98
35-39,58,121,48,102,87,126,79,77,114,88,157,91,57
40-44,61,62,86,93,126,135,100,107,60,52,79,105,61
45-49,103,118,115,55,105,80,123,76,77,97,59,74,51
50 or Older,247,203,329,278,279,283,196,321,208,304,274,195,124
50-54,151,51,62,136,56,43,62,136,47,105,83,31,84
55-59,42,50,60,112,53,120,62,67,65,58,118,58,9
60-64,29,35,47,2,57,59,17,46,25,29,14,13,26
65 or Older,25,66,160,29,114,60,54,72,71,113,58,94,6
