Substance,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
ILLICIT DRUGS,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,"13,102","13,034","13,522","13,168","13,193","12,398"
Marijuana,"9,238","9,044","8,963","9,111","9,188","9,008","9,154","10,343","10,215","10,554","10,887","11,000","11,154","11,246","11,401","11,956","11,829","11,952","11,566"
Cocaine,"2,087","2,098","2,134","2,247","2,263","2,087","1,844","1,790","1,593","1,563","1,600","1,543","1,604","1,876","1,919","2,128","1,967","1,789","1,441"
Crack,266,275,263,328,293,249,217,172,180,107,140,95,127,109,90,108,87,61,49
Heroin,122,96,118,159,147,142,149,183,211,230,272,244,268,217,227,214,157,87,62
Hallucinogens,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,"2,453","2,388","2,406","2,332","2,425","2,446"
LSD,553,336,317,322,380,375,507,523,549,586,622,708,800,979,"1,161","1,310","1,187","1,202","1,254"
PCP,95,117,100,57,76,57,30,35,37,63,57,26,36,32,15,27,10,30,63
Ecstasy,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,"1,422","1,223","1,209","1,063","1,089",845
Inhalants,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,487,485,562,495,577,507
Methamphetamine,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,329,265,375,273,275,171
Misuse of Prescription Psychotherapeutics1,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,"5,330","5,026","4,956","4,202","3,868","3,193"
Pain Relievers1,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,"2,979","2,454","2,460","1,858","1,754","1,361"
Stimulants,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,"2,537","2,578","2,545","2,216","1,951","1,616"
Tranquilizers or Sedatives,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,"1,988","1,987","1,949","1,658","1,409","1,237"
Tranquilizers,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,"1,874","1,844","1,880","1,566","1,313","1,108"
Sedatives,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,265,256,199,194,175,251
Benzodiazepines,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,"1,799","1,794","1,830","1,526","1,266","1,097"
Opioids,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,"3,029","2,516","2,494","1,895","1,776","1,376"
Central Nervous System Stimulants,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,"3,789","3,854","3,890","3,487","3,205","2,567"
Illicit Drugs Other than Marijuana2,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,"7,036","6,649","6,657","6,006","5,791","5,169"
TOBACCO PRODUCTS3,"17,028","17,073","17,481","17,637","17,695","17,156","17,248","17,601","17,484","17,159","16,891","16,597","16,083","15,301","14,014","13,661","12,488","11,874","9,638"
Cigarettes,"15,214","15,113","15,290","15,348","15,403","14,787","14,865","15,212","14,733","14,516","14,195","13,750","13,157","12,215","10,956","10,645","9,501","8,720","7,241"
Daily Cigarettes,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Smokeless Tobacco,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,"3,156","2,772","2,653","2,402","2,586","2,023"
Cigars,"7,034","7,196","7,724","7,856","7,931","7,756","7,601","7,904","7,735","7,568","7,521","7,214","6,975","6,798","6,217","6,140","5,818","5,495","4,136"
Pipe Tobacco3,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
ALCOHOL,"24,153","24,778","25,127","25,303","25,815","25,497","25,691","26,437","26,783","26,429","26,778","26,707","26,713","26,355","25,720","25,382","24,866","24,279","23,286"
Binge Alcohol Use,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Heavy Alcohol Use,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
GENERAL SUBSTANCES,,,,,,,,,,,,,,,,,,,
"Illicit Drugs, Tobacco Products, or Alcohol3",nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,"28,438","27,609","27,403","26,721","26,287","24,790"
Illicit Drugs or Alcohol,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,"27,280","26,630","26,428","25,889","25,368","24,203"
Tobacco Products or Alcohol3,"25,571","26,254","26,657","26,824","27,232","26,975","27,261","27,850","28,306","28,118","28,307","28,266","28,229","27,926","27,181","26,839","26,107","25,614","24,195"
