Substance,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
ILLICIT DRUGS,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,"30,281","31,525","34,203","35,863","39,731","43,443"
Marijuana,"12,612","12,441","12,833","12,880","12,889","12,970","13,479","14,983","15,672","15,632","17,263","18,606","20,707","21,660","23,187","25,885","28,548","33,007","35,537"
Cocaine,"3,307","3,372","3,114","2,852","3,400","3,275","3,133","2,773","2,700","2,065","2,890","2,508","2,782","2,799","3,017","3,688","3,451","3,582","3,646"
Crack,"1,188","1,036",978,"1,000","1,111","1,138",862,807,686,490,762,526,627,718,781,806,666,706,606
Heroin,231,182,232,184,376,207,265,364,382,336,366,406,618,591,708,658,641,658,840
Hallucinogens,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,"1,716","2,059","2,207","2,887","3,146","4,317"
LSD,131,73,117,91,181,120,115,124,197,135,283,253,275,305,531,674,928,989,"1,164"
PCP,31,13,38,22,52,26,*,42,24,17,67,35,21,54,69,46,45,22,31
Ecstasy,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,937,"1,084","1,103","1,324","1,306","1,692"
Inhalants,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,588,620,623,846,822,"1,200"
Methamphetamine,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,"1,344","1,095","1,210","1,551","1,682","2,358"
Misuse of Prescription Psychotherapeutics1,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,"12,148","12,327","11,888","11,484","11,374","12,192"
Pain Relievers1,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,"8,513","8,181","7,850","7,395","7,404","7,498"
Stimulants,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,"2,223","2,643","2,841","2,524","2,548","3,188"
Tranquilizers or Sedatives,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,"4,530","4,552","4,302","4,317","4,050","4,742"
Tranquilizers,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,"3,782","3,781","3,605","3,753","3,516","4,156"
Sedatives,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,"1,143","1,176","1,079",827,841,954
Benzodiazepines,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,"3,368","3,489","3,403","3,513","3,194","3,526"
Opioids,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,"8,683","8,417","8,138","7,656","7,723","7,717"
Central Nervous System Stimulants,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,"5,431","5,664","6,452","6,102","6,433","7,393"
Illicit Drugs Other than Marijuana2,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,"15,240","15,370","15,800","15,416","15,936","17,286"
TOBACCO PRODUCTS3,"61,864","60,708","60,023","61,957","63,044","62,852","62,555","61,115","61,482","60,497","62,138","60,788","61,896","60,121","60,131","58,645","58,606","58,032","53,371"
Cigarettes,"51,060","50,004","49,974","51,098","51,965","51,958","51,502","50,325","50,406","49,323","50,659","49,945","50,491","47,612","48,510","46,196","46,577","45,498","42,752"
Daily Cigarettes,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Smokeless Tobacco,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,"8,492","8,299","8,303","7,909","8,271","6,844"
Cigars,"16,382","15,702","15,681","16,567","16,544","16,519","16,554","16,470","16,444","15,472","16,443","16,296","15,333","16,313","15,454","16,167","16,205","15,834","14,898"
Pipe Tobacco3,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
ALCOHOL,"122,759","121,200","123,022","127,869","128,257","129,435","131,548","134,183","134,616","137,053","140,240","141,126","143,864","143,840","143,520","147,887","149,221","149,591","149,799"
Binge Alcohol Use,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Heavy Alcohol Use,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
GENERAL SUBSTANCES,,,,,,,,,,,,,,,,,,,
"Illicit Drugs, Tobacco Products, or Alcohol3",nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,"158,172","157,919","161,981","163,596","164,135","163,976"
Illicit Drugs or Alcohol,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,"147,928","147,613","152,242","153,334","154,828","155,993"
Tobacco Products or Alcohol3,"135,093","133,922","134,681","140,642","140,973","141,755","143,947","145,567","146,955","148,785","152,124","153,101","156,279","156,209","155,897","159,924","161,788","161,832","160,799"
